id,fac.post,mo.u.raw,mo.u.bottom,mo.u.top,mo.i.raw,mo.i.bottom,mo.i.top,du.u.raw,du.u.bottom,du.u.top,du.i.raw,du.i.bottom,du.i.top,ee.u.raw,ee.u.bottom,ee.u.top,ee.i.raw,ee.i.bottom,ee.i.top
a,1,5,5,5,1,NA,NA,5,5,5,5,NA,NA,1,1,1,NA,NA,NA
aa,1,1.5,1.5,1.5,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA
b,1,2,2,2,NA,NA,NA,1--3,1,3,NA,NA,NA,1,1,1,NA,NA,NA
bb,2,4,4,4,4--4.5,4,4.5,3--4,3,4,5,5,5,2--3,2,3,5,5,5
c,2,>1,2,5,5,5,5,3--5,3,5,5,5,5,2,2,2,NA,NA,NA
cc,2,4,4,4,NA,NA,NA,3--4,3,4,NA,NA,NA,2,2,2,NA,NA,NA
d,1,4,4,4,5,5,5,4,4,4,4--5,4,5,4,4,4,5,5,5
e,1,4,4,4,5,5,5,5,5,5,5,5,5,3.5,3.5,3.5,4,4,4
f,2,>=4,4,5,5,5,5,3,3,3,5,5,5,2,2,2,5,5,5
g,2,3,3,3,NA,NA,NA,5,5,5,NA,NA,NA,5,5,5,NA,NA,NA
h,2,2,2,2,4,4,4,3--4,3,4,5,5,5,2,2,2,4,4,4
i,1,5,5,5,NA,NA,NA,5,5,5,NA,NA,NA,3,3,3,NA,NA,NA
j,1,1--4,1,4,5,5,5,2--4.5,2,4.25,5,5,5,5,5,5,5,5,5
k,1,2.5,2.5,2.5,4--5,4,5,5,5,5,4.5,4.5,4.5,>=2,2,5,4.5,4.5,4.5
l,1,3,3,3,5,5,5,2,2,2,NA,NA,NA,4,4,4,5,5,5
m,1,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,4,4,4
n,2,5,5,5,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4
o,2,5,5,5,4,4,4,4,4,4,4,4,4,1,1,1,5*,5,5
p,2,2,2,2,4,4,4,2,2,2,4,4,4,2,2,2,4,4,4
q,1,1,1,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
r,2,4.5,4.5,4.5,4--4.5,4,4.5,3.5--4,3.5,4,4.5--5,4.5,5,3,3,3,4.5--5,4.5,5
s,2,3,3,3,2,2,2,4,4,4,5,5,5,3,3,3,5,5,5
t,1,3,3,3,4,4,4,4,4,4,4,4,4,2,2,2,4,4,4
u,1,3.5--4,3.5,4,NA,NA,NA,2.5--3,2.5,3,NA,NA,NA,4,4,4,NA,NA,NA
v,1,4,4,4,4,4,4,5,5,5,4,4,4,3,3,3,5,5,5
w,1,5,5,5,NA,NA,NA,5,5,5,4,4,4,4,4,4,5,5,5
x,2,5,5,5,4,4,4,4,4,4,4,4,4,2--3,2,3,5,5,5
y,2,1.5,1.5,1.5,>3,4,5,4,4,4,5,5,5,1.5,1.5,1.5,4--5,4,5
z,2,4--5,4,5,3--4,3,4,5,5,5,5,5,5,3--4,3,4,5,5,5